NGA,PolityID,PolityName,Year,Note,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services
,214,sd_alodia,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,sd_alodia,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Mesopotamia,479,iq_babylonia_1,-2000,,439331.205818875,,,4.0,6.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,
Southern Mesopotamia,479,iq_babylonia_1,-1900,,401550.38615178043,,,4.0,6.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,
Southern Mesopotamia,479,iq_babylonia_1,-1800,,427930.8451636009,,,4.0,6.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,
Southern Mesopotamia,479,iq_babylonia_1,-1700,,422454.2228663298,,,4.0,6.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,
Southern Mesopotamia,479,iq_babylonia_1,-1600,,492163.6273982711,,,4.0,6.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,
Sogdiana,465,uz_khwarasm_1,-1000,,,81611.28113310185,30725.65259588735,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,
Sogdiana,465,uz_khwarasm_1,-900,,,65073.26579338588,28537.606507817953,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,
Sogdiana,465,uz_khwarasm_1,-800,,,95802.66037230578,23553.823229671012,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,
Sogdiana,465,uz_khwarasm_1,-700,,,68411.26350235152,26307.768925998,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,
