"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","AdmLev","MilLev","ReligLev","SettlHier","ProfOfficer","ProfSoldier","ProfPriest","FullTBur","ExamSyst","MeritProm","GovtBldg","Court","LegCode","Judge","Lawyer","Irrigation","WaterSuppl","Market","FoodStor","Road","Bridge","Canal","Port","Mine","Courier","PostStation","PostService","Mnemonic","NonWRecord","WRecord","Script","NonPhWrit","PhAlph","Lists","Calendar","SacrTxt","ReligLit","PractLit","History","Philosophy","SciLit","Fiction","Article","Token","PrecMetal","ForCoin","IndigCoin","PaperCurr","Credit","uniq"
"Sogdiana","kz_andronovo",-1700,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1600,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1500,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1400,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1300,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"Sogdiana","kz_andronovo",-1200,45,-999,4.03140846425162,2.17609125905568,-999,-999,-999,1.5,-999,-999,-999,-999,-999,-999,-999,0,0,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,-999,-999,0,0,0,-999,"n"
"-999","gb_anglo_saxon_1",500,72,6.47712125471966,-999,3.69897000433602,3,3,5,6,-999,1,1,1,-999,-999,1,1,0.5,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,0.5,0.5,0.5,-999,0.5,-999,1,0.5,-999,0.5,0.5,0.5,0.5,1,-999,1,1,0.5,0,0,"y"
"-999","gb_anglo_saxon_1",600,72,6.47712125471966,-999,3.69897000433602,3,3,5,6,-999,1,1,1,-999,-999,1,1,0.5,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,0.5,0.5,0.5,-999,0.5,-999,1,0.5,-999,0.5,0.5,0.5,0.5,1,-999,1,1,0.5,0,0,"n"
"-999","gb_anglo_saxon_1",700,72,6.47712125471966,-999,3.69897000433602,3,3,5,6,-999,1,1,1,-999,-999,1,1,0.5,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,0.5,0.5,0.5,-999,0.5,-999,1,0.5,-999,0.5,0.5,0.5,0.5,1,-999,1,1,0.5,0,0,"n"
"-999","gb_anglo_saxon_1",800,72,6.47712125471966,-999,3.69897000433602,3,3,5,6,-999,1,1,1,-999,-999,1,1,0.5,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,0.5,0.5,0.5,-999,0.5,-999,1,0.5,-999,0.5,0.5,0.5,0.5,1,-999,1,1,0.5,0,0,"n"
"-999","gb_anglo_saxon_1",900,72,6.47712125471966,-999,3.69897000433602,3,3,5,6,-999,1,1,1,-999,-999,1,1,0.5,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,0.5,0.5,0.5,-999,0.5,-999,1,0.5,-999,0.5,0.5,0.5,0.5,1,-999,1,1,0.5,0,0,"n"
"-999","gb_anglo_saxon_2",1000,66,6.17609125905568,5.1148744163332,4.07918124604763,5,3,5,5,-999,1,1,-999,-999,-999,1,1,1,0,-999,-999,-999,1,1,1,1,0,1,0,-999,-999,-999,-999,1,1,1,1,-999,1,1,1,1,1,1,-999,-999,1,-999,-999,1,-999,1,0,-999,"y"
"-999","us_antebellum",1800,91,6.594305682792,8.33124627441959,4.39794000867204,11,12,-999,7,1,1,1,1,-999,-999,1,1,1,1,-999,1,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0.5,1,"y"
"-999","gr_antigonid_emp",-300,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
