NGA,PolityID,PolityName,Section,Subsection,value_from,value_to,year_from,year_to,is_disputed,is_uncertain
Upper Egypt,516,eg_old_k_1,sc,polity-territories,75000,350000,,,False,False
Upper Egypt,513,eg_naqada_3,sc,polity-territories,5000,10000,,,False,False
Upper Egypt,514,eg_dynasty_1,sc,polity-territories,50000,110000,,,False,False
Upper Egypt,515,eg_dynasty_2,sc,polity-territories,100000,100000,-2900,-2801,False,False
Upper Egypt,515,eg_dynasty_2,sc,polity-territories,267000,267000,-2800,-2701,False,False
Upper Egypt,515,eg_dynasty_2,sc,polity-territories,300000,300000,-2700,-2687,False,False
Upper Egypt,205,eg_inter_occupation,sc,polity-territories,500000,600000,,,False,False
Upper Egypt,521,eg_kushite,sc,polity-territories,600000,700000,-700,-700,False,False
Upper Egypt,517,eg_old_k_2,sc,polity-territories,75000,300000,,,False,False
Upper Egypt,232,eg_mamluk_sultanate_1,sc,polity-territories,2100000,2100000,,,False,False
Upper Egypt,236,eg_mamluk_sultanate_2,sc,polity-territories,2100000,2100000,,,False,False
Upper Egypt,239,eg_mamluk_sultanate_3,sc,polity-territories,2100000,2100000,,,False,False
Upper Egypt,239,eg_mamluk_sultanate_3,sc,polity-territories,2100000,2100000,,,False,False
Upper Egypt,519,eg_middle_k,sc,polity-territories,238000,238000,-2000,-2000,False,False
Upper Egypt,519,eg_middle_k,sc,polity-territories,413000,413000,-1900,-1900,False,False
Upper Egypt,519,eg_middle_k,sc,polity-territories,450000,450000,-1800,-1800,False,False
Upper Egypt,199,eg_new_k_2,sc,polity-territories,1000000,1000000,-1293,-1293,False,False
Upper Egypt,199,eg_new_k_2,sc,polity-territories,746000,746000,-1200,-1200,False,False
Upper Egypt,199,eg_new_k_2,sc,polity-territories,567000,567000,-1100,-1100,False,False
Upper Egypt,198,eg_new_k_1,sc,polity-territories,650000,650000,-1500,-1451,False,False
Upper Egypt,198,eg_new_k_1,sc,polity-territories,900000,900000,-1450,-1351,False,False
Upper Egypt,198,eg_new_k_1,sc,polity-territories,1000000,1000000,-1350,-1294,False,False
Upper Egypt,518,eg_regions,sc,polity-territories,20000,40000,,,False,False
Upper Egypt,203,eg_saite,sc,polity-territories,300000,400000,,,False,False
Upper Egypt,520,eg_thebes_hyksos,sc,polity-territories,10000,20000,,,False,False
Upper Egypt,200,eg_thebes_libyan,sc,polity-territories,190000,230000,,,False,False
